Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Eve Inc,0,PO Box 14149 Lansing  MI 48901 ,38-2211520,NA,WWW.EVEINC.ORG,517-372-5976,Human Service,Founded in 1977  the Council Against Domestic Assault (CADA) began with a group of concerned community members who wanted to help support their family  friends and neighbors. The Council Against Domestic Assault grew to include Lansings first domestic violence shelter and supportive services for survivors and their children. In recent years  CADA changed its name to EVE (End Violent Encounters) to reflect EVEs comprehensive services to survivors.????????????,TO PROVIDE SHELTER AND SUPPORTIVE SERVICES FOR THE VICTIMS OF DOMESTIC VIOLENCE WHILE SEEKING TO END DOMESTIC VIOLENCE THROUGH PUBLIC AWARENESS AND COMMUNITY EDUCATION.,Most volunteer and internship opportunities require completion of our volunteer training program. Trainings are held three times a year  in the fall (September)  in the winter (January) and in the summer (May)  with training occuring over the course of 4 days. Training begins Thursday evening  continues to Friday evening  and on to Saturday & Sunday. The total amount of hours for the weekend is about 20 hours. Volunteers will also receive additional on-site training. Volunteers must also complete EVEs Volunteer/Internship Application which includes a background check. Once the paperwork has been filled out and sent to the contact below  EVE will review your application and run the criminal background check. It may take a few days to process and you will updated on the status of your application. A TB test must also be obtained for most volunteer opportunities. You can get a free TB test from the Ingham County Health Department  5303 S. Cedar in Lansing. Please complete and return your application as soon as possible so that all necessary paperwork can be processed in a timely matter. If you are planning to attend the upcoming training session  all paperwork must be completed 2 weeks prior to the training.,Photo save,313 W. Kalamazoo St. Lansing  MI 48933,517-483-6545,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/eveinclansing/,EVE (End Violent Encounters) does not have any upcoming events.,NA,NA,27/2/2018,
Deaf Inc,0,PO Box 8812 Kentwood  MI 49518 USA,82-0555112,development@deafhhs.org,www.deafhhs.org,616-732-7358,Human Service,Founded in 1996  DHHS is located in the Greater Grand Rapids area in Michigan. We provide ASL interpreting services  ASL classes  hearing assistance outreach  advocacy  cultural awareness and sensitivity training.,To provide human services  communication and education to the deaf  hard of hearing and hearing communities with the goal of inclusiveness in Western Michigan.,We have a copule of volunteer opportunities right now: Join the D&HHS board! We are seeking experts in human resources  finances  and legal matters. Email a letter of interest and your resume to the board. Experienced with data entry? We need you! We have an ongoing project where we are compiling our demographic data for grants and such. If you are willing to volunteer to do data entry  please email us  or call us at 616-732-7358.,Photo save,4328 Kalamazoo Avenue SE Grand Rapids  MI 49508 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/deafhhs,Mayfest 2018  Thursday  May 17 at 6 PM - 9 PM EDT  2025 Fulton St E  Grand Rapids  Michigan 49503,NA,NA,27/2/2018,
Freedom Early Learning Center,0,2616 PORT SHELDON ST JENISON   MI 49428 ,06-1643392,stacey@freedomearlylearningcenter.com,www.freedomearlylearningcenter.com,616-669-3343,Human Service,Here at FELC  it is our mission to provide children with opportunities for Christ-centered spiritual  cognitive  emotional  physical  and social development in a nurturing environment. We provide quality childcare and pre-school programming for children 6 weeks through age 12.,TO PROVIDE LEARNING PROGRAMS AND DAY-CARE FOR PRE-SCHOOL CHILDREN.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FELCkids/about/?ref=page_internal,Freedom Early Learning Center does not have any upcoming events.,NA,NA,27/2/2018,
Relief After Violent Encounter,0,1300 N HICKORY ST OWOSSO  MI 48867 ,38-2552460,safecenter@thesafecenter.org,www.thesafecenter.org,989-723-9716,Human Service,We provide professional  confidential  compassionate services and resources that address domestic and sexual violence issues.,Build comprehensive and sustainable community strategies to eliminate domestic and sexual violence in Clinton and Shiawassee Counties.,Statistics show that one in every four women will experience domestic violence in her lifetime. We all know someone who has gone through this pain. SafeCenter could use your help reaching this vulnerable segment of our society: the women and children whose lives have been affected by violence. By volunteering your time or giving your financial support  you can help us give survivors of domestic and sexual violence the tools to empower themselves to move forward with their lives.Consider contacting SafeCenter to offer help in a variety of ways  or become a financial contributor to this vital community service. Your gift of time can be invaluable in providing the care and comfort these survivors require. Your monetary investment in our programs and services will also make a real difference as your dollars will go directly to programs and services benefitting those most in need.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/thesafecenter.org/,Weaving The Vision: 10th Annual Dinner & Silent Auction  Thursday  April 26 at 5:30 PM - 8:30 PM EDT  15101 Chandler Road  Bath  Michigan 48808,The Clothesline Project  Apr 19 at 10 AM to Apr 21 at 2 PM EDT  215 N Clinton Ave  Saint Johns  Michigan 48879,The Clothesline Project  Sunday  April 29 at 12 PM - 3 PM EDT  206 Curwood Castle Dr  Owosso  Michigan 48867,27/2/2018,
Carnegie Adult Foster Care Home Inc,0,3879 PACKARD RD UNIT A ANN ARBOR  MI 48108 ,38-2889889,NA,NA,NA,Human Service,24 Hour residential care to adults with mental illness.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018,
Jewish Community Relations Council of Metropolitan Detroit,0,6735 TELEGRAPH RD BLOOMFIELD HILLS  MI 48301 ,38-3011194,office@detroitjcrc.org,WWW.DETROITJCRC.ORG,248-642-5393,Human Service,JCRC/AJC carries the dual responsibility of reflecting the Jewish community???s consensus while providing leadership in pursuit of traditional and contemporary Jewish values. It is both a gathering of activists and a platform for advocacy  agents of social change and stewards of conscience. JCRC/AJC serves as a catalyst to heighten community awareness  encourages civic and social involvement  and provides a forum to deliberate key issues of importance to the Jewish community.,TO REPRESENT THE METROPOLITAN DETROIT JEWISH COMMUNITY  ISRAEL AND JEWS THROUGHOUT THE WORLD TO THE GENERAL COMMUNITY  AND TO ESTABLISH COLLABORATIVE RELATIONSHIPS WITH OTHER ETHNIC  RACIAL AND RELIGIOUS GROUPS. JCRC EDUCATES AND ADVOCATES ON IMPORTANT ISSUES  SEEKING CONSENSUS WITH A COMMITMENT TO JEWISH VALUES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/DetroitJCRC,NA,NA,NA,28/2/2018,
Alpha Womens Center  Inc.,0,1725 Division Ave S Grand Rapids  MI 49507 ,38-2867495,ckoole@alphawc.org,www.alphawc.org,616-742-0242,Human Service,AGR offers pregnancy tests  limited ultrasounds  one-on-one mentoring  and material assistance including diapers  formula  and maternity & infant clothing. Through the Educational Services department  AGR offers classes including GED Tutoring  English as a Second Language classes  Parenting classes  and Pregnancy Education classes. All services are free of charge.,Alpha is a local womens and childrens center that builds strong families. Partnering with volunteers we provide spiritual and materials resources of the local church and community to bear on the needs of women and their babies  born and unborn  and their families through pregnancy care services  broad based educational programs and enriching community activities.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/alphagrandrapids/,Alpha Grand Rapids does not have any upcoming events.,NA,NA,28/2/2018,
Shiawassee Area YMCA,0,515 W MAIN 8TREET OWOSSO  MI 48867 ,38-1359577,shiawasseeymca@shiawasseeymca.org,WWW.SHIAWASSEEYMCA.ORG,989-725-8136,Human Service,The Shiawassee Family YMCA is in the business of providing character development for our youth  strengthening families  wellness for all and removing obstacles to success.,THE SHIAWASSEE FAMILY YMCA IS A CHARITABLE  COMMUNITY SERVICE ORGANIZATION THAT INCLUDES MEN  WOMEN  AND CHILDREN OF ALL AGES  ABILITIES  INCOMES  RACES  AND RELIGIONS. WE ARE DEDICATED TO BUILDING STRONG KIDS  STRONG FAMILIES  AND STRONG COMMUNITIES BY PUTTING JUDEO CHRISTIAN PRINCIPLES INTO PRACTICE THROUGH PROGRAMS THAT PROMOTE HEALTHY LIVING  YOUTH DEVELOPMENT  AND SOCIAL RESPONSIBILITY. ALL PERSON ARE WELCOME AT OUR YMCA  REGARDLESS OF THEIR ABILITY TO PAY. OUR YMCA IS FOUNDED AND LED BY VOLUNTEERS FROM OUR COMMUNITY; VOLUNTEERS ALSO SERVE AS MENTORS  COACHES  PROGRAM LEADERS  INSTRUCTORS AND MORE.,Across Shiawassee County  thousands of business leaders  community advocates  parents  teens and individuals who want to give back and support their neighbors volunteer at the Y. That???s because in our community we have the presence and partnerships to both promise and deliver positive  personal and social change. With a focus on youth development  healthy living and social responsibility  Y volunteers give men  women and children of all ages and from all walks of life the resources and support they need to be healthy  confident  connected and secure.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ShiawasseeFamilyYmca,Kick Off to Family Wellness: A Celebration of Recovery  Saturday  March 17 at 2 PM - 11 PM EDT  515 W Main St  Owosso  Michigan 48867,NA,NA,28/2/2018,
Huron House Inc,0,3525 24TH ST PORT HURON  MI 48060 ,38-2265671,NA,NA,810-984-8781,Human Service,OUR MISSION IS TO OPERATE A COMMUNITY RESIDENTIAL CENTER AS A CONSTRUCTIVE ALTERNATIVE TO INCARCERATION FOR ADULT OFFENDERS AND THROUGH EDUCATION  TO DEVELOP THE LIFE SKILLS NECESSARY TO FACILITATE A TRANSITION THAT LEADS TO SELF-SUPPORTING AND PRODUCTIVE COMMUNITY LIVING.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Nichols Bunch Staffing,0,803 SHEFFIELD DR MADISON HTS   MI 48071 ,27-1679663,NA,NA,NA,Human Service,NICHOLS BUNCH STAFFING WILL FUNCTION IN PARTNERSHIP WITH CONSUMERS  FAMILIES AND THE COMMUNITY TO ASSURE INDIVIDUALIZED PLANS ARE FOLLOWED. WE WILL FOCUS UPON TRANSITION TO SUPPORTED AND INDEPENDENT WORK WITHIN THE COMMUNITY.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,28/2/2018,
Partners in Personal Assistance,0,3840 PACKARD ST STE 150 ANN ARBOR  MI 48108 ,38-3571800,info@annarborppa.org,WWW.ANNARBORPPA.ORG,734-214-3890,Human Service,Partners in Personal Assistance (PPA) is an innovative nonprofit organization,Partners in Personal Assistance (PPA) is an innovative nonprofit organization that provides in-home and community-based personal assistant services. PPA offers an empowering solution for people with disabilities and elders who want to exercise independence and self determination in directing their personal care.,NA,Photo save,NA,734-214-0644,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/groups/519396734763311/about/,No events are currently schedule,NA,NA,28/2/2018,
Americans for International Aid and Adoption,0,2151 LIVERNOIS TROY  MI 48083 ,38-2058290,tammy@aiaaadopt.org,WWW.AIAAADOPT.ORG,248-362-1207,Human Service,Established in 1975 during Vietnam Conflict First placements from Korea in 1976 First agency licensed for international adoption services in the State of Michigan,TO SOLICIT CONTRIBUTIONS FOR THE CHARITABLE PURPOSE OF PROVIDING AID TO DOMESTIC & FOREIGN CHILDREN, TO PROVIDE INTER-COUNTRY ADOPTION SERVICES IN COMPLIANCE WITH APPLICABLE DOMESTIC AND FOREIGN LAWS.,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/americansforinternationaladoption,Photo save,NA,NA,NA,
