organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
5 for life foundation,0,"584 W ANN ARBOR TRAIL, PLYMOUTH, MI 48170",46-5353619,info@5forlifefoundation.org,www.5forlifefoundation.org,734-459-4183,Youth Development,The 5 For Life Foundation is a nonprofit organization that aims to enrich the lives of children in crucial developmental years,we have endeavored to be a foundation that can inspire and impact positive change for young people and communities. We can???t do this alone. We are prepared to put all that we can behind initiatives to address the 5 impact areas. We seek partners to work with us in a relentless pursuit to have impact in our communities in Michigan.,we have endeavored to be a foundation that can inspire and impact positive change for young people and communities. We can???t do this alone. We are prepared to put all that we can behind initiatives to address the 5 impact areas. We seek partners to work with us in a relentless pursuit to have impact in our communities in Michigan.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
Youth Outlet,0,"1330 NORTHRUP AVE NW GRAND RAPIDS, MI 49504",46-2932579,team@youthoutlet.org,www.youthoutlet.org,NA,Youth Development,Youth Outlet is a grassroots nonprofit seeking an intern to lead grant writing as we operationalize our program,To unveil the hidden potential of underserved youth through a creative and life-skills focused curriculum.,Maintain a physical space where youth are equipped with life-changing skills and know-how. Our space utilizes the resources of local community and business to provide unique and vital learning labs aimed at breaking the cycles of inequity which affect our underserved youth and communities.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Youth-Outlet-1562066090710041/,NA,NA,NA,27/11/2017,
Richmond Blue Devils Youth Football & Cheer,0,"37508 ROBERT DR RICHMOND, MI 48062",46-3647521,richmondtafl@gmail.com,www.taflrichmondbluedevilsfootball.com,209-201-1358,"Recreation, Sports, Leisure, Athletics",Richmond Blue Devils Youth Football & Cheer Corp. is a Non-Profit Organization," The purpose of this organization shall be to provide and promote, through properly qualified guidance and supervision, clean and wholesome youth football and cheerleading programs in the greater thumb area of Michigan",NA,Photo save,"Po box 2984 Merced, California",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/bluedevilsyouthfootballandcheer/about/?ref=page_internal,NA,NA,NA,27/11/2017,
david warsen memorial foundation,0,"14129 NATURES PLACE CT SE LOWELL, MI 49331",46-2968475,NA,www.davidwarsenmemorialfoundation.com,NA,Youth Development,"David lived his life in the humble service of God and pursuit of a better world. In remembrance of him, let us make the world a better place for tomorrow and choose to love each other daily.","David Warsen is a Special Warfare Operator SO2 Navy SEAL who was killed while serving our country in Afghanistan on August 16, 2012",DAVID WARSEN LEGACY IS A NON PROFIT 501 (C) (3)  DONATIONS ARE TAX DEDUCTIBL,Photo save,"60th St SE 49508 Kentwood, Michigan",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/DavidWarsenLegacy/,NA,NA,NA,27/11/2017,
MICHIGAN STATE UNIVERSITY HEARTS & HOOVES 4-H CLUB,0,"963 S. Raisinville Road Monroe, MI 48161",38-3859219,msue.monroe@county.msu.edu,www.msue.anr.msu.edu,734-240-3170,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
Friends of Detroit Hockey Academy Foundation,0,"50950 Century Ct 48393 Wixom, Michigan",47-4733308,Info@DetroitHockeyAcademy.com,www.detroithockeyacademy.com,313-580-1176,Youth Development,Sports Hockey Academy,Michigan's premier academic and athletic progressive training program led by 11 year NHL pro & Stanley Cup champion Manny Legace,"Recreation, Development & sport",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pages/Detroit-Hockey-Academy/1605874342995844,NA,NA,NA,27/11/2017,
Wildcats Cheer Boosters Inc,0,"8400 N BECK RD CANTON, MI 48187",47-4708338,wildcatscheer1@gmail.com,www.wildcatscheer.com,517-331-7161,Youth Development,We have been a member of the Lansing community for 8 years now and every year we work harder to bring the best cheerleading training to our area,provide an unparalleled experience in a safe and competitive environment.,The largest competitive cheerleading program in the Lansing area. Championship teams for all skill levels beginner to advanced. No experience needed to join a team! Ages 2-18. Half year and full year cheer teams available along with tumbling and specialty classes,Photo save,"4500 Empire Way Suite 7 48917 Lansing, Michigan",517-897-2189,This organization is required to file an IRS Form 990-N.,NA,There are no upcoming events at this time.,NA,NA,27/11/2017,
Pinnacle Achieving Scholars,0,"29500 FRANKLIN RD APT 114 SOUTHFIELD, MI 48034",47-2561594,PASis4u@gmail.com,www.pascholar.org,313-492-3982,Youth Development,Pinnacle Achieving Scholars (PAS) has been helping young people to achieve their college dreams for the past 22-years,"To empower high school students using proven tools, methods, and technologies for the successful attainment of a college education.","PAS is a Federal 501(c)(3) non-profit organization serving low-income, disadvantaged and/or underrepresented students in the metro-Detroit area. PAS has been helping young people develop their personal brands and achieve their college dreams for over 22-years",Photo save,29155 Northwestern Hwy. Ste. 708 Southfield MI 48034 USA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
E P I C Outreach,0,"PO BOX 39867 REDFORD, MI 48239",47-4199043,jessie@epicanimals.org,www.epicoutreach.org,904-274-1177,Youth Development,"EPIC Outreach exists to inspire compassion by sharing information through humane education, networking, and outreach to create a kinder world for people, animals, and the environment.","EPIC Animals Outreach's Primary focus is Humane Education Outreach.  We attend after school programs, participate in classroom activities at public and private schools, attend summer camp programs. We also host FREE educational outreach events.","The Opportunities for Education Outreach are ENDLESS. School Classroom, Activities, Birthday Parties,After School Programs, Day Camps for Kids' Library Visits, Small Business Awareness, Public Seminars, Community Events",Photo save,"Jacksonville, FL 32202, USA",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/epicanimals2015,NA,NA,NA,27/11/2017,
Detroit Phoenix Elite Youth Sports,0,"4400 AUDUBON RD DETROIT, MI 48224",47-5362003,detrotphoenixelite360@gmail.com,www.detroitphoenixelite.org,313.312.5656,Youth Development,"DPE is a Youth Sports Organization, centered around athletics to provide outreach to our inner city youth.","Our mission is centered around athletics to provide outreach to our inner city youth. To help young people, especially those who need us most.","We, the people of Detroit Phoenix Elite Youth Sports are a multicultural, inner city youth organization devoted to the promotion and the betterment of our youth.  Our vision is to aid and assist our young individuals by providing them with proper direction and guidance during their most critical developmental years.  Our goal is to help our youth grow and enhance their strengths while developing positive work ethics through athletics and workshops.",Photo save,"12400 E. Jefferson Ave Detroit, MI 48213",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/detroitphoenixelite/about/,NA,NA,NA,27/11/2017,
Pontiac Panthers Youth Football and Cheerleading Organization,0,"32 UTICA RD PONTIAC, MI 48341",47-4154541,NA,www.pontiacpanthers.com,248-495-0309,Youth Development,The Pontiac Panthers Youth Football Association is a great franchise.,"The goal is to create an athletic organization, which promotes academic achievement and a safe environment for youth to learn the beloved game of football and cheerleading.","Pontiac Panthers Youth Football and Cheerleading Organization to create an athletic organization; develop and promote youth football and cheerleading activities regardless of race, creed, or gender.",Photo save,"NAP.O. Box 431062 Pontiac, Michigan 48343",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/pg/Pontiac-Panthers-Youth-Football-and-Cheerleading-326593920356/about/?ref=page_internal,NA,NA,NA,27/11/2017,
Fleece & Thank You,0,"22641 MOORGATE ST NOVI, MI 48374",47-5263037,info@fleeceandthankyou.org,www.fleeceandthankyou.org,313-451-3665,Youth Development,Fleece & Thank You provides comfort and hope to children battling illness by giving donors the opportunity to create a blanket and video message of support,"At Fleece & Thank You, our focus is to provide every child who has a life-threatening illness with a colorful, fleece blanket prior to the start of their hospital stay.",Fleece & Thank You provides comfort and hope to children battling illness by giving donors the opportunity to create a blanket and video message of support,Photo save,"22811 HESLIP DR. Novi, Michigan",NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/fleecethankyou/,NA,NA,NA,27/11/2017,
Tiny Acres,0,"2360 YEMANS ST HAMTRAMCK, MI 48212",47-3011367,tinyacreshamtramck@gmail.com,www.recyclehamtramck.wixsite.com,NA,Youth Development,We are a small scale farm in Hamtramck that only grows NON GMO organic produce. We also teach environmental curriculum at Holbrook Elementary School.,We aim to teach elementary and middle school students the importance of farming and living ecosystems. We also enjoy engaging residents in simple gardening techniques and skills.,"We are always looking for volunteers to help at the farm and gain gardening insight and skills. We also offer produce delivery to residents of Hamtramck, Detroit, Ferndale and to all restaurants too",Photo save,NA,313-575-8814,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Tiny-Acres-239925259430425/,NA,NA,NA,27/11/2017,
Lakeshore Youth Network Center,0,"100 PINE ST STE 293 ZEELAND, MI 49464",47-2459316,http://www.twitter.com/wix,www.lyncmi.org,616-748-6521,Youth Development,Lakeshore Youth Network is a non-profit organization ,"Lakeshore Youth Network is a non-profit organization committed to providing resources, connections, and support to children and youth in Foster Care, as well as providing support and mentorship for those older youth transitioning out",Our Life Coach partners with foster parents and case workers to develop an aging out strategy and assists youth in defining their life goals and helps them obtain these goals through monthly mentorship and one- one-one sessions. Youth also compile a Life Binder with all of their vital documents.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Lakeshore-Youth-Network-Center-123418241029338/,NA,NA,NA,27/11/2017,
Merze Tate Explorers,0,"310 E. Michigan Ave., #Box 51042 Kalamazoo, MI 49005",47-4167598,contact@merzetate.com,www.merzetate.com,269-359-7895,Youth Development,"What would your life be like if you had the opportunity as a student to explore your world, meet amazing people and write about it? We are the Explorers!","The Merze Tate Explorers was founded in the legacy of Merze Tate, a Blanchard, Michigan native, who went on to become the first African American female to earn a BA from Western Michigan University, the first African American graduate of Oxford University in England, a Fulbright scholar, inventor, educator, and world traveler.","African American graduate of Oxford University in England, a Fulbright scholar, inventor, educator, and world traveler. Her legacy is one to be honored and used as an example to help girls explore the possibilities in life.",Photo save,"PO BOX 51042 KALAMAZOO, MI 49005",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/merzetate/,NA,NA,NA,27/11/2017,
Never Down for the Count Youth Services,0,"414 S SIMON ST CADILLAC, MI 49601",47-3029297,neverdownforthecount@gmail.com,www.ndftc.org,231-884-7776,Youth Development,Never Down For The Count Youth Services is a non-profit organization,"Never Down For The Count Youth Services is a non-profit organization that provides FREE programming to young people Cadillac, MI","NDFTC Youth Services is a non-profit organization that will provide FREE programming for young people in the middle-high school ages and their families in a Youth Center that will include After School programming, Healthy Snacks, Physical Fitness, Ativity/Education, Life Skill Development through, Adult Mentors, Community Service Projects, Cadillac Boxing Club",Photo save,"207 E River 49601 Cadillac, Michigan",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/NeverDownForTheCount/,NA,NA,NA,27/11/2017,
Shape Up Program,0,"20552 PIERSON ST DETROIT, MI 48219",47-5283689,NA,NA,NA,Youth Development,A non-profit organization,"Children & Youth, Youth Development Programs",NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/sharer.php?u=https://greatnonprofits.org/org/shape-up-program-1,NA,NA,NA,27/11/2017,
Gist Youth Development Corp,0,"15336 WASHBURN ST DETROIT, MI 48238",47-3036465,NA,NA,NA,Youth Development,A non-profit organization,"Children & Youth, Youth Development Programs",NA,NA,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
Grass Lake Youth Wrestling Club,0,"PO BOX 176 GRASS LAKE, MI 49240",47-1483421,glyouthwrestling@gmail.com,www.glywc.org,NA,Youth Development,A non-profit organization,"This page is to promote the Grass Lake Youth Wrestling Club and to inform friends, family and wrestlers of upcoming and ongoing events and or tournaments.","The GLYWC welcomes all youths regardless of school affiliation, skill level and athletic ability. We teach children about the sport of wrestling in a positive environment and work to promote important life skills like; good work ethics, sportsmanship and a positive mental attitude.",Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,NA,NA,NA,NA,27/11/2017,
Full Count Foundation,0,"16133 EGO AVE EASTPOINTE, MI 48021",47-3774134,NA,www.fullcountfoundation.org,NA,Youth Development,A non-profit organization,"The Full Count Foundation is proud to be a part of the Brazos Valley! The Foundation, through many partners, will encourage children of all ages to get involved in the local communities through sports and other various activities.",To encourage our youth to stay active in sports and other outdoor activities while providing scholarships and financial aid to those who cant afford to do so.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/Full-Count-Foundation-127903233933331/,NA,NA,NA,27/11/2017,
STAMBAUGH ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,0,"700 WASHINGTON AVE IRON RIVER, MI 49935",47-1748329,NA,www.stambaughpto.com,NA,Youth Development,Nonprofit Organization,The Stambaugh Elementary Parent Teacher Organization is a volunteer based organization that provides parental assistance in our elementary school.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/StambaughElementaryPTO,NA,NA,NA,27/11/2017,
Sound Mind Sound Body Foundation,0,"18675 BIRCHCREST DR DETROIT, MI 48221",47-3868584,info@smsbcamp.com,www.soundmindsoundbodycamp.com,800-222-2222,Youth Development,Sound Mind Sound Body (SMSB) Football Academy was created to increase the number football student-athletes graduating high school and earning college scholarships in the Metro Detroit community.,Sound Mind Sound Body (SMSB) Football Academy was created to increase the number football student-athletes graduating high school and earning college scholarships in the Metro Detroit community.,Use football as a vehicle to improve the number of high school students in under-served communities that graduate high school and also attend college. Our mission is to create well rounded young men that understand the SMSB formula for SUCCESS,Photo save,"P.O. Box 24184, Detroit, MI 48224",NA,This organization is required to file an IRS Form 990 or 990-EZ.,http://www.facebook.com/SoundMindSoundBodyFootballAcademy,NA,NA,NA,27/11/2017,
Michigan State University CLASSY COUNTRY CRITTERS 4-H CLUB,0,"121 S CHURCH ST HASTINGS, MI 49058",41-2266186,msue.barry@county.msu.edu,www.msue.anr.msu.edu,269-945-1388,Youth Development,"Michigan State University Extension helps people improve their lives by bringing the vast knowledge resources of MSU directly to individuals, communities and businesses.","A therapeutic horseback riding program for people with disabilities that helps to improve balance, coordination, posture and muscle tone. Opportunities to participate exist for riders, volunteers, instructors and horse owners.",Sharing skills and knowledge is what the 4-H Proud Equestrians Program (PEP) is all about. Riders with disabilities and the volunteers who work with them can gain great satisfaction through this therapeutic horseback riding program.,Photo save,NA,NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/MichiganStateExtension,"Nurturing Parenting ??? Ongoing, March 13, 2018, 11:30 a.m. - 12:30 p.m., Arthur Lesow Community Center, 120 Eastchester, Monroe, MI 48161","2018 Cow-Calf Management Seminar, March 13, 2018, 7 - 9 p.m., Mid Michigan Community College, 1375 Clare Ave., Harrison, MI","Redefining Rural Food Deserts by Transportation Networks, March 13, 2018, 2:00 PM-ET",27/11/2017,
